Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_Torque_[MNm],Aero_Thrust_[MN],Aero_CP_[-],Aero_CT_[-],Aero_CQ_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN],RtAeroCp_[-],GenSpeed_[rpm],RtAeroCt_[-],GenTorque_[MNm],RtTSR_[-],TTDspFA_[m],TTDspSS_[m]
2.0,0.0,3.4378,0.0647,0.7967,0.36240361195119813,3.9880795668113747,0.033713793189917664,0.41514341629686874,11.329379674832103,0.0221,0.0613,0.0282,0.36240361195119813,0.9248671363822432,0.03194212554160669,22.658759349664205,62.9400236458565,0.0221,0.1216,0.371,333.4689,0.9393,0.0007,11.4314,0.002,-0.0006
2.25,0.0,3.4331,0.0972,0.8381,0.38006389633896576,3.2884164849146424,0.04001884570302437,0.3450596150586906,10.056791710891613,0.0349,0.0972,0.0334,0.4019463630978759,0.8655091457537356,0.04001884570302437,22.62778134950613,62.9400236458565,0.033,0.1269,0.414,333.0069,0.8827,0.001,10.1582,0.005,-0.001
2.5,0.0,3.4331,0.1423,0.9322,0.4055247222673461,2.787457718276582,0.04745568119616973,0.31087973303632765,9.051112539802451,0.0513,0.1427,0.0392,0.4307125932156285,0.8228037843105573,0.04758907734851315,22.62778134950613,62.9400236458565,0.0483,0.1328,0.4414,333.0125,0.8364,0.0015,9.1303,0.0084,-0.0016
2.75,0.0,3.4333,0.1963,0.9948,0.42011324947548345,2.4060314741919866,0.054102613026884884,0.27417870320501825,8.228763477192297,0.0706,0.1965,0.045,0.445345276471008,0.7806158351740403,0.05415773540388629,22.629099562278817,62.9400236458565,0.0666,0.1387,0.4582,333.0294,0.7958,0.002,8.3103,0.0117,-0.0022
3.0,0.0,3.4332,0.258,1.0746,0.42562837482051225,2.1077350342139063,0.059750359903821104,0.2488671967156828,7.542813485297491,0.0928,0.258,0.0509,0.45089398611122755,0.74193439309466,0.059750359903821104,22.628440455892473,62.9400236458565,0.0876,0.1446,0.4626,333.0196,0.7555,0.0027,7.6133,0.0151,-0.003
3.25,0.0,3.6788,0.3068,1.2214,0.4264855709040073,1.902752381300226,0.0605413306789343,0.24102079951515762,7.460678689461029,0.1181,0.3067,0.0595,0.45132568032045933,0.7389932551394481,0.06052159752030362,24.247205740748345,62.9400236458565,0.1116,0.1532,0.4642,356.8394,0.752,0.0032,7.5348,0.02,-0.0035
3.5,0.0,3.9617,0.3559,1.3618,0.4265293015294657,1.744517082259863,0.060555727830384244,0.2317077554352831,7.460519345059938,0.1476,0.3557,0.069,0.4516192604429637,0.7389298875133858,0.06052169819968439,26.111817707709783,62.9400236458565,0.1394,0.1629,0.4636,384.2868,0.7515,0.0037,7.5317,0.0254,-0.0041
3.75,0.0,4.2445,0.4086,1.499,0.4266389992721409,1.6148223930176586,0.06056185316391022,0.2221787026253094,7.460205484875965,0.1813,0.408,0.0791,0.4510183706591203,0.7379113303737539,0.06047292239568127,27.97577056828487,62.9400236458565,0.1715,0.1731,0.4637,411.7178,0.7518,0.0042,7.5349,0.0312,-0.0047
4.0,0.0,4.5272,0.4649,1.6528,0.42656216994934576,1.5102883556880247,0.060562374242630314,0.21530972714179258,7.459766080618403,0.2201,0.4643,0.0901,0.45115970017227774,0.7387458243620577,0.06048421243461659,29.83906432247361,62.9400236458565,0.2081,0.1842,0.4636,439.1378,0.7517,0.0048,7.5336,0.0374,-0.0053
4.25,0.0,4.8099,0.5249,1.8281,0.4265481096879896,1.4235359590148051,0.060570623153164624,0.2109528599472285,7.459378370979378,0.2642,0.5245,0.1017,0.4514984398219826,0.7386408522030902,0.06052446531498351,31.702358076662357,62.9400236458565,0.2496,0.196,0.4638,466.563,0.752,0.0054,7.5331,0.044,-0.006
