Wind [m/s],Pitch [deg],Power [MW],CP [-],Aero CP [-],Rotor Speed [rpm],Tip Speed [m/s],Thrust [MN],CT [-],Torque [MNm],CQ [-],Blade Moment [MNm],Blade Moment Coefficient [-]
3,1.947775284,0.375538649,0.362723692,0.460426113,1.975,29.36865532,0.269644905,0.781330462,2.304851477,0.047310331,8.552784006,0.17555797
3.54953237,-0.95492474,0.635644519,0.370668714,0.448625093,2.184880357,32.4896193,0.414029518,0.856986677,3.362448632,0.049302499,13.06625759,0.191586317
4.067900771,-0.95492474,1.014237244,0.392928519,0.448625093,2.503957017,37.23435473,0.54378813,0.856986677,4.41625434,0.049302499,17.16127832,0.191586317
4.553906848,-0.95492474,1.473497284,0.406894631,0.448625093,2.803113363,41.68287098,0.681486579,0.856986677,5.534541668,0.049302499,21.50687045,0.191586317
5.006427063,-0.95492474,1.996315118,0.414887608,0.448625093,3.081657809,45.82488406,0.823653995,0.856986677,6.689122709,0.049302499,25.99349759,0.191586317
5.424415288,-0.95492474,2.571170922,0.420104373,0.448625093,3.338946423,49.65081854,0.966929666,0.856986677,7.852704204,0.049302499,30.51509991,0.191586317
5.806905228,-0.95492474,3.179901342,0.42351079,0.448625093,3.574384409,53.15182973,1.108098836,0.856986677,8.999178214,0.049302499,34.97022365,0.191586317
6.153012649,-0.95492474,3.803380108,0.425785978,0.448625093,3.787427488,56.31982404,1.244126779,0.856986677,10.1038989,0.049302499,39.26309667,0.191586317
6.461937428,-0.95492474,4.421435886,0.427326804,0.448625093,3.977583151,59.14747777,1.372190849,0.856986677,11.14394276,0.049302499,43.30463976,0.191586317
6.732965398,-0.95492474,5.013265683,0.428338017,0.448625093,4.1444118,61.62825401,1.489710186,0.856986677,12.09834991,0.049302499,47.01340413,0.191586317
6.965470002,-0.95492474,5.55992078,0.429044534,0.448625093,4.287527763,63.75641775,1.594372792,0.856986677,12.94834399,0.049302499,50.31642607,0.191586317
7.158913742,-0.95492474,6.043266596,0.429551671,0.448625093,4.406600188,65.52704914,1.684159741,0.856986677,13.67752872,0.049302499,53.14999069,0.191586317
7.312849418,-0.95492474,6.446694086,0.429894826,0.448625093,4.501353806,66.93605489,1.757366259,0.856986677,14.27205917,0.049302499,55.46029752,0.191586317
7.426921164,-0.95492474,6.756659289,0.430120979,0.448625093,4.571569567,67.98017767,1.81261951,0.856986677,14.72078616,0.049302499,57.20402153,0.191586317
7.500865272,-0.95492474,6.962663346,0.43025542,0.448625093,4.617085148,68.6570037,1.848892888,0.856986677,15.01537233,0.049302499,58.34876433,0.191586317
7.534510799,-0.95492474,7.057781739,0.430316593,0.448625093,4.637795327,68.96496832,1.865516702,0.856986677,15.15037894,0.049302499,58.87339124,0.191586317
7.541241633,-0.95492474,7.076914762,0.430328831,0.448625093,4.641938427,69.02657707,1.868851249,0.856986677,15.17745972,0.049302499,58.97862543,0.191586317
7.58833327,-0.95492474,7.211728426,0.430412845,0.448625093,4.670925229,69.45761676,1.892264382,0.856986677,15.36760427,0.049302499,59.71751483,0.191586317
7.675676842,-0.95492474,7.466186181,0.430560136,0.448625093,4.724688721,70.25709091,1.936075932,0.856986677,15.72341003,0.049302499,61.10015296,0.191586317
7.803070431,-0.95492474,7.847828144,0.430762562,0.448625093,4.803104614,71.42315134,2.000875544,0.856986677,16.24966567,0.049302499,63.14514827,0.191586317
7.970219531,-0.95492474,8.367545594,0.430995052,0.448625093,4.905991628,72.95310235,2.087514927,0.856986677,16.95328815,0.049302499,65.87937965,0.191586317
8.176737731,-0.95492474,9.039659135,0.431218018,0.448625093,5.03311191,74.84340703,2.197096631,0.856986677,17.84323158,0.049302499,69.33764218,0.191586317
8.422147605,-0.95492474,9.882192126,0.431389724,0.448625093,5.184171587,77.08969543,2.330959454,0.856986677,18.93036872,0.049302499,73.5621867,0.191586317
8.70588182,-0.95492474,10.91883042,0.431541798,0.448625093,5.358821442,79.68677461,2.490660637,0.856986677,20.22734635,0.049302499,78.60215777,0.191586317
9.027284445,-0.95492474,12.17633054,0.431648361,0.448625093,5.556657723,82.62864071,2.677955009,0.856986677,21.74841593,0.049302499,84.51293565,0.191586317
9.385612468,-0.95492474,13.68438108,0.431640665,0.448625093,5.777223075,85.90849277,2.894771303,0.856986677,23.50924124,0.049302499,91.35538875,0.191586317
9.780037514,1.076074385,15.97152541,0.445256105,0.462947838,6.020007602,89.5187485,2.841862999,0.774831279,26.34164647,0.050876524,89.50124593,0.172863617
10.20964776,1.610643791,18.12124994,0.444059251,0.462025233,6.284450037,93.45106179,3.002711885,0.751237387,28.6494987,0.050775132,94.52091445,0.167518182
10.67345004,2.987707427,20.20010629,0.433235701,0.451330169,6.569939049,97.69634199,3.002702072,0.687365371,30.58678445,0.049599778,94.40954842,0.153095291
11.13492728,4.127462022,22,0.415571326,0.433992953,6.853996906,101.9203406,3.002712263,0.63157364,32.01011711,0.047694472,94.32380835,0.1405407
11.17037214,4.320424869,21.99998265,0.411627575,0.429874382,6.853996906,101.9203406,2.967848841,0.620285375,32.01009188,0.047392235,93.17308982,0.137946526
11.6992653,6.331901463,21.99998772,0.358287551,0.374169878,6.853996906,101.9203406,2.627944289,0.500707415,32.01009925,0.043204143,81.70934593,0.110283391
12.25890683,7.809273512,22.00000215,0.31142433,0.325229284,6.853996906,101.9203406,2.405417197,0.417418767,32.01012024,0.039349514,73.93814299,0.090890942
12.84800295,9.084648077,22.0000002,0.270520916,0.282512686,6.853996906,101.9203406,2.231213722,0.352496626,32.01011741,0.035823793,67.67385167,0.075736494
13.46519181,10.24977324,21.99990199,0.235000162,0.245417352,6.853996906,101.9203406,2.08588858,0.300020593,32.00997451,0.032614881,62.30077203,0.063478096
14.10904661,11.34504187,22.00008648,0.20427557,0.213330787,6.853996906,101.9203406,1.960658316,0.256857131,32.01024295,0.029706343,57.54193813,0.053400424
14.77807889,12.39228265,22.0000445,0.177768442,0.185648639,6.853996906,101.9203406,1.850564881,0.220980221,32.01018186,0.027077448,53.2421605,0.045037603
15.470742,13.40421333,22.0000247,0.154944008,0.161812434,6.853996906,101.9203406,1.752552679,0.190956234,32.01015305,0.024707057,49.30682504,0.038057504
16.18543466,14.38880542,22.00001503,0.135311568,0.141309718,6.853996906,101.9203406,1.664533036,0.165702375,32.01013898,0.022573265,45.67207398,0.03220754
16.92050464,15.35112982,22.00000988,0.118431707,0.1236816,6.853996906,101.9203406,1.585011186,0.144374588,32.01013149,0.020654581,42.29277264,0.027289469
17.67425264,16.29447652,22.00000673,0.103916542,0.108523,6.853996906,101.9203406,1.512853945,0.126299006,32.01012691,0.018930445,39.13531373,0.023144204
18.44493615,17.2209336,22.00000464,0.091427396,0.09548023,6.853996906,101.9203406,1.447171785,0.110930462,32.01012386,0.017381554,36.17383918,0.019642459
19.23077353,18.13174183,22.00000305,0.080671016,0.084247037,6.853996906,101.9203406,1.387250523,0.09782423,32.01012156,0.015990033,33.3879135,0.016678283
20.02994808,19.0275534,22.00000173,0.071395081,0.074559914,6.853996906,101.9203406,1.332499257,0.086614854,32.01011963,0.014739515,30.76097782,0.01416433
20.8406123,19.908606,22.00000068,0.063383515,0.066193207,6.853996906,101.9203406,1.282414371,0.07700031,32.0101181,0.013615133,28.27933307,0.012028287
